# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	3.846871435633185529e-04
71	3.846871435633185529e-04
72	3.846871435633185529e-04
73	3.846871435633185529e-04
74	3.846871435633185529e-04
75	3.846871435633185529e-04
76	3.846871435633185529e-04
77	3.846871435633185529e-04
78	3.846871435633185529e-04
79	3.846871435633185529e-04
80	3.846871435633185529e-04
81	3.846871435633185529e-04
82	3.846871435633185529e-04
83	3.846871435633185529e-04
84	3.846871435633185529e-04
85	3.846871435633185529e-04
86	3.846871435633185529e-04
87	3.846871435633185529e-04
88	3.846871435633185529e-04
89	3.846871435633185529e-04
90	3.846871435633185529e-04
91	3.846871435633185529e-04
92	3.846871435633185529e-04
93	3.846871435633185529e-04
94	3.846871435633185529e-04
95	3.846871435633185529e-04
96	3.846871435633185529e-04
97	3.846871435633185529e-04
98	3.846871435633185529e-04
99	3.846871435633185529e-04
100	2.154248003954583809e-02
101	6.020353796765934989e-02
102	3.846871435633185529e-04
103	3.846871435633185529e-04
104	3.846871435633185529e-04
105	3.846871435633185529e-04
106	3.846871435633185529e-04
107	3.846871435633185529e-04
108	3.846871435633185529e-04
109	3.846871435633185529e-04
110	3.846871435633185529e-04
111	3.846871435633185529e-04
112	3.846871435633185529e-04
113	3.846871435633185529e-04
114	3.846871435633185529e-04
115	3.846871435633185529e-04
116	3.846871435633185529e-04
117	3.846871435633185529e-04
