# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	3.258836334721597751e-04
35	3.258836334721597751e-04
36	3.258836334721597751e-04
37	3.258836334721597751e-04
38	3.258836334721597751e-04
39	6.517672669443195501e-04
40	6.517672669443195501e-04
41	6.517672669443195501e-04
42	6.517672669443195501e-04
43	6.517672669443195501e-04
44	6.517672669443195501e-04
45	6.517672669443195501e-04
46	6.517672669443195501e-04
47	6.517672669443195501e-04
48	6.517672669443195501e-04
49	6.517672669443195501e-04
50	6.517672669443195501e-04
51	6.517672669443195501e-04
52	6.517672669443195501e-04
53	6.517672669443195501e-04
54	6.517672669443195501e-04
55	6.517672669443195501e-04
56	6.517672669443195501e-04
57	6.517672669443195501e-04
58	6.517672669443195501e-04
59	6.517672669443195501e-04
60	6.517672669443195501e-04
61	6.517672669443195501e-04
62	6.517672669443195501e-04
63	6.517672669443195501e-04
64	6.517672669443195501e-04
65	6.517672669443195501e-04
66	6.517672669443195501e-04
67	6.517672669443195501e-04
68	6.517672669443195501e-04
69	6.517672669443195501e-04
70	6.517672669443195501e-04
71	6.517672669443195501e-04
72	6.517672669443195501e-04
73	6.517672669443195501e-04
74	6.517672669443195501e-04
75	6.517672669443195501e-04
76	6.517672669443195501e-04
77	6.517672669443195501e-04
78	6.517672669443195501e-04
79	6.517672669443195501e-04
80	6.517672669443195501e-04
81	6.517672669443195501e-04
82	6.517672669443195501e-04
83	8.831446467095530051e-02
84	9.385448643998201002e-02
85	9.450625370692633531e-02
86	9.483213734039848408e-02
87	1.137333880817837511e-01
88	1.287240352215031081e-01
89	1.319828715562247068e-01
90	1.326346388231690321e-01
91	1.326346388231690321e-01
92	1.326346388231690321e-01
93	1.326346388231690321e-01
94	1.326346388231690321e-01
95	1.394781951260843644e-01
96	1.394781951260843644e-01
97	1.394781951260843644e-01
98	1.417593805603895030e-01
99	1.417593805603895030e-01
100	1.437146823612224511e-01
101	2.314751448552750723e+00
102	4.124741737220472970e+01
103	2.232302889284294434e-01
104	1.609865149352469327e-01
105	1.515358895645542991e-01
106	1.202510607512269486e-01
107	1.195992934842826372e-01
108	1.189475262173383119e-01
109	1.036309954441468062e-01
110	9.613567187428713468e-02
111	9.613567187428713468e-02
112	9.385448643998201002e-02
113	9.287683553956553595e-02
114	9.287683553956553595e-02
115	9.287683553956553595e-02
116	9.287683553956553595e-02
117	9.287683553956553595e-02
