# amplicon position	effect
1	0.000000000000000000e+00
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
22	0.000000000000000000e+00
23	0.000000000000000000e+00
24	0.000000000000000000e+00
25	0.000000000000000000e+00
26	0.000000000000000000e+00
27	0.000000000000000000e+00
28	0.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	0.000000000000000000e+00
67	0.000000000000000000e+00
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	0.000000000000000000e+00
77	2.178487868001063009e-04
78	2.178487868001063009e-04
79	2.178487868001063009e-04
80	2.178487868001063009e-04
81	2.178487868001063009e-04
82	2.178487868001063009e-04
83	2.178487868001063009e-04
84	2.178487868001063009e-04
85	2.178487868001063009e-04
86	2.178487868001063009e-04
87	2.178487868001063009e-04
88	2.178487868001063009e-04
89	2.178487868001063009e-04
90	2.178487868001063009e-04
91	2.178487868001063009e-04
92	2.178487868001063009e-04
93	2.178487868001063009e-04
94	2.178487868001063009e-04
95	2.178487868001063009e-04
96	6.535463604003189297e-04
97	6.535463604003189297e-04
98	6.535463604003189297e-04
99	6.535463604003189297e-04
100	6.535463604003189297e-04
101	6.535463604003189297e-04
102	6.535463604003189297e-04
103	6.535463604003189297e-04
104	6.535463604003189297e-04
105	6.535463604003189297e-04
106	6.535463604003189297e-04
107	6.535463604003189297e-04
108	6.535463604003189297e-04
109	6.535463604003189297e-04
110	6.535463604003189297e-04
111	6.535463604003189297e-04
112	6.535463604003189297e-04
113	6.535463604003189297e-04
114	6.535463604003189297e-04
115	6.535463604003189297e-04
116	6.535463604003189297e-04
117	6.535463604003189297e-04
